com.samsung.shealth.activity.day_summary,6195017,2
step_count,active_time,target,others_time,update_time,create_time,goal,longest_active_time,score,distance,calorie,extra_data,deviceuuid,run_time,pkg_name,walk_time,longest_idle_time,datauuid,day_time
3979,2539456,90,0,2021-10-05 07:03:09.861,2021-10-01 01:43:52.298,-1,360000,46,2948.25,208.9,11e79613-725d-4e60-960e-5518311af8b1.extra_data.json,6fPiwL19M5,0,com.sec.android.app.shealth,2539456,26400000,11e79613-725d-4e60-960e-5518311af8b1,1632787200000,
8996,5387143,90,0,2021-10-08 21:38:50.112,2021-10-07 16:38:27.442,-1,1221688,98,5558.712,263.21298,ad639b43-8b7b-42ba-bb82-c2226074478a.extra_data.json,6fPiwL19M5,9506,com.sec.android.app.shealth,5377637,21180000,ad639b43-8b7b-42ba-bb82-c2226074478a,1633651200000,
3373,2170810,90,0,2021-10-05 07:03:07.609,2021-10-01 01:43:47.458,-1,120000,40,2563.68,176.46002,260add8d-1e77-4e5f-a224-2bf7777306a3.extra_data.json,6fPiwL19M5,10000,com.sec.android.app.shealth,2160810,23220000,260add8d-1e77-4e5f-a224-2bf7777306a3,1631836800000,
6152,3997095,90,322560,2021-10-14 21:55:58.980,2021-10-13 15:00:00.568,-1,800274,73,3824.4358,214.66418,079e23c7-1fde-44b2-94af-44255aa05744.extra_data.json,6fPiwL19M5,0,com.sec.android.app.shealth,3674535,27840000,079e23c7-1fde-44b2-94af-44255aa05744,1634169600000,
2794,1859566,90,0,2021-10-05 07:03:06.919,2021-10-01 01:43:45.182,-1,60000,33,2141.9695,139.46996,46287b36-f6bc-4dd7-b3e1-ef7f4f94190f.extra_data.json,6fPiwL19M5,0,com.sec.android.app.shealth,1859566,33000000,46287b36-f6bc-4dd7-b3e1-ef7f4f94190f,1631404800000,
7222,4403969,90,0,2021-10-21 00:53:04.179,2021-10-19 19:06:04.183,-1,644744,81,4954.228,239.65392,e6913e83-a1e3-4eee-a938-ddfcca474418.extra_data.json,6fPiwL19M5,2668,com.sec.android.app.shealth,4401301,21360000,e6913e83-a1e3-4eee-a938-ddfcca474418,1634688000000,
8047,5138822,90,0,2021-10-05 07:03:08.628,2021-10-01 01:43:50.113,-1,900000,94,6017.6304,417.39005,fbf70d18-77ef-4449-b4d2-c6963d462161.extra_data.json,6fPiwL19M5,0,com.sec.android.app.shealth,5138822,23220000,fbf70d18-77ef-4449-b4d2-c6963d462161,1632355200000,
4183,2629163,90,0,2021-10-05 07:03:07.771,2021-10-01 01:43:47.856,-1,704710,47,3210.8005,209.4153,34e415f1-4db9-409a-bbde-f1f95f159a2a.extra_data.json,6fPiwL19M5,0,com.sec.android.app.shealth,2629163,37800000,34e415f1-4db9-409a-bbde-f1f95f159a2a,1631923200000,
8250,5145459,90,0,2021-10-26 18:47:39.294,2021-10-25 20:57:09.929,-1,1375385,94,5086.037,345.051,b442092e-fe08-44c9-9f9c-80df48bdb05c.extra_data.json,6fPiwL19M5,13600,com.sec.android.app.shealth,5131859,17400000,b442092e-fe08-44c9-9f9c-80df48bdb05c,1635206400000,
11,7337,90,0,2021-10-16 15:19:42.687,2021-10-15 18:23:12.845,-1,7337,0,7.3,0.33,2205fe08-b0af-49ff-8d4d-2d32d23aac32.extra_data.json,6fPiwL19M5,0,com.sec.android.app.shealth,7337,70679999,2205fe08-b0af-49ff-8d4d-2d32d23aac32,1634342400000,
