com.samsung.shealth.sleep_snoring,6195017,2
duration,start_time,custom,update_time,create_time,time_offset,deviceuuid,pkg_name,end_time,datauuid
80753,2021-10-04 14:17:48.325,,2021-10-04 21:54:22.009,2021-10-04 21:54:22.009,UTC+0900,DQQ9M5Fmpd,com.sec.android.app.shealth,2021-10-04 14:19:09.078,1ab05ce9-6819-486a-86a7-5b9c9bd867d0,
86500,2021-10-02 20:29:35.330,,2021-10-02 22:08:37.675,2021-10-02 22:08:37.675,UTC+0900,DQQ9M5Fmpd,com.sec.android.app.shealth,2021-10-02 20:31:01.830,e0ae78ee-7840-46d7-b5d8-ee4715ce0e5b,
323152,2021-10-04 15:56:15.795,,2021-10-04 21:54:22.011,2021-10-04 21:54:22.011,UTC+0900,DQQ9M5Fmpd,com.sec.android.app.shealth,2021-10-04 16:01:38.947,69626cf5-413c-4779-99e0-21b19e13941c,
116675,2021-10-04 20:52:41.931,,2021-10-04 21:54:22.020,2021-10-04 21:54:22.020,UTC+0900,DQQ9M5Fmpd,com.sec.android.app.shealth,2021-10-04 20:54:38.606,73632b90-572b-4080-9d48-c58d78718175,
147674,2021-10-02 21:21:04.003,,2021-10-02 22:08:37.677,2021-10-02 22:08:37.677,UTC+0900,DQQ9M5Fmpd,com.sec.android.app.shealth,2021-10-02 21:23:31.677,5890da07-54f5-4cd1-af88-850bc2707f6b,
145840,2021-10-02 17:28:36.836,,2021-10-02 22:08:37.671,2021-10-02 22:08:37.671,UTC+0900,DQQ9M5Fmpd,com.sec.android.app.shealth,2021-10-02 17:31:02.676,ef65c88d-a16b-4940-baf4-a76801b867f3,
287033,2021-10-04 14:12:18.511,,2021-10-04 21:54:22.009,2021-10-04 21:54:22.009,UTC+0900,DQQ9M5Fmpd,com.sec.android.app.shealth,2021-10-04 14:17:05.544,daaff25e-2423-4a1a-8d02-31649da19d21,
502966,2021-10-02 19:34:06.350,,2021-10-02 22:08:37.672,2021-10-02 22:08:37.672,UTC+0900,DQQ9M5Fmpd,com.sec.android.app.shealth,2021-10-02 19:42:29.316,a10f6648-0f3b-46d8-a888-b56c18b7b5f0,
81845,2021-10-04 14:26:09.797,,2021-10-04 21:54:22.010,2021-10-04 21:54:22.010,UTC+0900,DQQ9M5Fmpd,com.sec.android.app.shealth,2021-10-04 14:27:31.642,0aba4514-a5a4-4b48-986e-d613180eb83a,
237766,2021-10-04 15:51:41.253,,2021-10-04 21:54:22.011,2021-10-04 21:54:22.011,UTC+0900,DQQ9M5Fmpd,com.sec.android.app.shealth,2021-10-04 15:55:39.019,f5e9abda-bbb4-4160-9424-56f687ca48e2,
84183,2021-10-04 17:10:40.487,,2021-10-04 21:54:22.013,2021-10-04 21:54:22.013,UTC+0900,DQQ9M5Fmpd,com.sec.android.app.shealth,2021-10-04 17:12:04.670,d9038196-c043-47dd-9566-478efa1a1b8c,
77221,2021-10-13 14:18:44.368,,2021-10-13 21:48:43.547,2021-10-13 21:48:43.547,UTC+0900,DQQ9M5Fmpd,com.sec.android.app.shealth,2021-10-13 14:20:01.589,e4e14f14-c239-4933-a67b-02218ea1bd5d,
169815,2021-10-02 20:25:36.442,,2021-10-02 22:08:37.674,2021-10-02 22:08:37.674,UTC+0900,DQQ9M5Fmpd,com.sec.android.app.shealth,2021-10-02 20:28:26.257,462c0808-6152-48e7-a480-101d4ba19468,
86499,2021-10-04 17:00:11.878,,2021-10-04 21:54:22.013,2021-10-04 21:54:22.013,UTC+0900,DQQ9M5Fmpd,com.sec.android.app.shealth,2021-10-04 17:01:38.377,cbb13bb9-ccff-4700-afb4-c3f47b20fa09,
117601,2021-10-02 16:47:04.382,,2021-10-02 22:08:37.669,2021-10-02 22:08:37.669,UTC+0900,DQQ9M5Fmpd,com.sec.android.app.shealth,2021-10-02 16:49:01.983,f2e8e2cf-d975-4c7d-8876-a19b3bf7af42,
202410,2021-10-04 18:12:13.988,,2021-10-04 21:54:22.016,2021-10-04 21:54:22.016,UTC+0900,DQQ9M5Fmpd,com.sec.android.app.shealth,2021-10-04 18:15:36.398,60891be7-60ac-4a0f-92ca-04f7c961cdef,
175747,2021-10-04 17:48:11.136,,2021-10-04 21:54:22.016,2021-10-04 21:54:22.016,UTC+0900,DQQ9M5Fmpd,com.sec.android.app.shealth,2021-10-04 17:51:06.883,f8f36ee9-c61e-431a-9eec-6fda348a48d7,
146674,2021-10-02 18:20:04.991,,2021-10-02 22:08:37.671,2021-10-02 22:08:37.671,UTC+0900,DQQ9M5Fmpd,com.sec.android.app.shealth,2021-10-02 18:22:31.665,01936b13-58b1-4cdf-8334-59ca7407a582,
230649,2021-10-04 18:50:11.078,,2021-10-04 21:54:22.018,2021-10-04 21:54:22.018,UTC+0900,DQQ9M5Fmpd,com.sec.android.app.shealth,2021-10-04 18:54:01.727,fea05b8e-24d1-4cde-9730-3eb55638e4f2,
201261,2021-10-04 18:44:09.445,,2021-10-04 21:54:22.018,2021-10-04 21:54:22.018,UTC+0900,DQQ9M5Fmpd,com.sec.android.app.shealth,2021-10-04 18:47:30.706,a975079f-a2fe-48e9-b760-71b54b40350a,
142224,2021-10-02 19:48:11.263,,2021-10-02 22:08:37.673,2021-10-02 22:08:37.673,UTC+0900,DQQ9M5Fmpd,com.sec.android.app.shealth,2021-10-02 19:50:33.487,0be13b3a-bf89-4887-a6ed-b9f45766c345,
89003,2021-10-04 21:02:09.631,,2021-10-04 21:54:22.021,2021-10-04 21:54:22.021,UTC+0900,DQQ9M5Fmpd,com.sec.android.app.shealth,2021-10-04 21:03:38.634,de669567-8f9e-4e93-ae26-7d20050734c8,
113542,2021-10-02 20:35:06.886,,2021-10-02 22:08:37.675,2021-10-02 22:08:37.675,UTC+0900,DQQ9M5Fmpd,com.sec.android.app.shealth,2021-10-02 20:37:00.428,9b7e1982-b917-4c67-a474-606e48c4b37e,
205562,2021-10-13 15:32:42.458,,2021-10-13 21:48:43.550,2021-10-13 21:48:43.550,UTC+0900,DQQ9M5Fmpd,com.sec.android.app.shealth,2021-10-13 15:36:08.020,a118695c-338e-47f6-ba51-375e91975ce5,
86686,2021-10-04 20:58:40.094,,2021-10-04 21:54:22.020,2021-10-04 21:54:22.020,UTC+0900,DQQ9M5Fmpd,com.sec.android.app.shealth,2021-10-04 21:00:06.780,e0410ed9-0f88-4ce1-aa15-afd4a070c51b,
174377,2021-10-13 15:13:16.331,,2021-10-13 21:48:43.548,2021-10-13 21:48:43.548,UTC+0900,DQQ9M5Fmpd,com.sec.android.app.shealth,2021-10-13 15:16:10.708,3b61922d-78ee-449c-8c8f-31c3b2f766f3,
117509,2021-10-04 16:13:09.862,,2021-10-04 21:54:22.012,2021-10-04 21:54:22.012,UTC+0900,DQQ9M5Fmpd,com.sec.android.app.shealth,2021-10-04 16:15:07.371,0aa426b8-9f97-451a-8173-f31ee077c83e,
201669,2021-10-13 16:25:43.199,,2021-10-13 21:48:43.551,2021-10-13 21:48:43.551,UTC+0900,DQQ9M5Fmpd,com.sec.android.app.shealth,2021-10-13 16:29:04.868,491246f1-9c0e-47fe-bcee-f2a3f0747a61,
145283,2021-10-13 16:50:43.756,,2021-10-13 21:48:43.552,2021-10-13 21:48:43.552,UTC+0900,DQQ9M5Fmpd,com.sec.android.app.shealth,2021-10-13 16:53:09.039,c4d53587-ba42-4316-9010-7029ea4e7486,
