com.samsung.shealth.step_daily_trend,6195017,6
binning_data,update_time,create_time,source_pkg_name,source_type,count,speed,distance,calorie,deviceuuid,pkg_name,datauuid,day_time
d8ef8d3a-0c0e-46fe-984f-ffa31f36faf4.binning_data.json,2021-10-05 07:03:10.147,2021-10-05 07:03:10.147,com.sec.android.app.shealth,0,4871,1.2512856,3605.38,254.65,6fPiwL19M5,com.sec.android.app.shealth,d8ef8d3a-0c0e-46fe-984f-ffa31f36faf4,1631059200000,
0e548360-f315-4cdd-ba39-3d6573a0d0dc.binning_data.json,2021-10-05 07:03:10.164,2021-10-05 07:03:10.164,com.sec.android.app.shealth,0,2616,1.2358326,1942.26,134.98,6fPiwL19M5,com.sec.android.app.shealth,0e548360-f315-4cdd-ba39-3d6573a0d0dc,1631232000000,
296b3cf5-0a63-49bb-80ce-67382d15ff53.binning_data.json,2021-10-05 07:03:11.743,2021-10-05 07:03:11.743,com.sec.android.app.shealth,0,3621,1.2569982,2727.41,181.58,6fPiwL19M5,com.sec.android.app.shealth,296b3cf5-0a63-49bb-80ce-67382d15ff53,1633305600000,
20a1bd71-502b-445c-8159-590d3e17c2b7.binning_data.json,2021-10-05 07:31:38.318,2021-10-05 07:31:38.318,com.sec.android.app.shealth,-2,5264,1.3217578,3965.91,268.32,VfS0qUERdZ,com.sec.android.app.shealth,20a1bd71-502b-445c-8159-590d3e17c2b7,1632009600000,
626070e6-8f2c-4602-88e3-8df61bdd361a.binning_data.json,2021-10-05 07:31:38.981,2021-10-05 07:31:38.981,com.sec.android.app.shealth,-2,3677,1.2262809,2720.2,192.6,VfS0qUERdZ,com.sec.android.app.shealth,626070e6-8f2c-4602-88e3-8df61bdd361a,1631491200000,
a282ec12-c98f-4bc3-bdcd-d38d4a07b74b.binning_data.json,2021-10-05 07:03:10.614,2021-10-05 07:03:10.614,com.sec.android.app.shealth,0,3561,1.2566097,2658.73,181.53,6fPiwL19M5,com.sec.android.app.shealth,a282ec12-c98f-4bc3-bdcd-d38d4a07b74b,1631664000000,
341b2066-6f11-48f3-9f3c-e9c46a02f09a.binning_data.json,2021-10-05 07:03:10.427,2021-10-05 07:03:10.427,com.sec.android.app.shealth,0,3677,1.2262809,2720.2,192.6,6fPiwL19M5,com.sec.android.app.shealth,341b2066-6f11-48f3-9f3c-e9c46a02f09a,1631491200000,
750dc316-c7c8-4f0a-9d90-7a6faf4a9e09.binning_data.json,2021-10-05 07:03:10.592,2021-10-05 07:03:10.592,com.sec.android.app.shealth,0,3522,1.3478968,2615.99,184.28,6fPiwL19M5,com.sec.android.app.shealth,750dc316-c7c8-4f0a-9d90-7a6faf4a9e09,1631577600000,
0005d236-fd35-4a68-9dc7-0fa76965b576.binning_data.json,2021-10-05 07:03:10.492,2021-10-05 07:03:10.492,com.sec.android.app.shealth,0,3373,1.3713859,2563.6802,176.46002,6fPiwL19M5,com.sec.android.app.shealth,0005d236-fd35-4a68-9dc7-0fa76965b576,1631836800000,
440d00a6-3bfa-4682-bfc9-30170dadd267.binning_data.json,2021-10-05 07:31:37.137,2021-10-05 07:31:37.137,com.sec.android.app.shealth,-2,7581,1.3555009,5777.0396,383.6,VfS0qUERdZ,com.sec.android.app.shealth,440d00a6-3bfa-4682-bfc9-30170dadd267,1632700800000,
a3a70291-6d2c-4f47-8718-ee39f802864b.binning_data.json,2021-10-05 07:03:10.863,2021-10-05 07:03:10.863,com.sec.android.app.shealth,0,2210,1.3065485,1659.21,111.57,6fPiwL19M5,com.sec.android.app.shealth,a3a70291-6d2c-4f47-8718-ee39f802864b,1632096000000,
79dd3beb-c4d0-4d9d-aca8-14745feac9b3.binning_data.json,2021-10-05 07:03:11.018,2021-10-05 07:03:11.018,com.sec.android.app.shealth,0,2545,1.3920689,1933.45,130.75,6fPiwL19M5,com.sec.android.app.shealth,79dd3beb-c4d0-4d9d-aca8-14745feac9b3,1632268800000,
7defd44a-f7fc-4cda-9243-7b17817215b1.binning_data.json,2021-10-05 07:03:11.157,2021-10-05 07:03:11.157,com.sec.android.app.shealth,0,4939,1.2489104,3617.0,260.99,6fPiwL19M5,com.sec.android.app.shealth,7defd44a-f7fc-4cda-9243-7b17817215b1,1632441600000,
