com.samsung.shealth.exercise,6195017,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
live_data_internal,mission_value,subset_data,total_calorie,completion_status,pace_info_id,pace_live_data,sensing_status,source_type,mission_type,tracking_status,program_id,reward_status,heart_rate_sample_count,mission_extra_value,program_schedule_id,heart_rate_deviceuuid,location_data_internal,additional_internal,com.samsung.health.exercise.duration,com.samsung.health.exercise.additional,com.samsung.health.exercise.mean_caloricburn_rate,com.samsung.health.exercise.location_data,com.samsung.health.exercise.start_time,com.samsung.health.exercise.exercise_type,com.samsung.health.exercise.custom,com.samsung.health.exercise.max_altitude,com.samsung.health.exercise.incline_distance,com.samsung.health.exercise.mean_heart_rate,com.samsung.health.exercise.count_type,com.samsung.health.exercise.mean_rpm,com.samsung.health.exercise.min_altitude,com.samsung.health.exercise.max_heart_rate,com.samsung.health.exercise.update_time,com.samsung.health.exercise.create_time,com.samsung.health.exercise.max_power,com.samsung.health.exercise.max_speed,com.samsung.health.exercise.mean_cadence,com.samsung.health.exercise.min_heart_rate,com.samsung.health.exercise.count,com.samsung.health.exercise.distance,com.samsung.health.exercise.max_caloricburn_rate,com.samsung.health.exercise.calorie,com.samsung.health.exercise.max_cadence,com.samsung.health.exercise.decline_distance,com.samsung.health.exercise.vo2_max,com.samsung.health.exercise.time_offset,com.samsung.health.exercise.deviceuuid,com.samsung.health.exercise.max_rpm,com.samsung.health.exercise.comment,com.samsung.health.exercise.live_data,com.samsung.health.exercise.mean_power,com.samsung.health.exercise.mean_speed,com.samsung.health.exercise.pkg_name,com.samsung.health.exercise.altitude_gain,com.samsung.health.exercise.altitude_loss,com.samsung.health.exercise.exercise_custom_type,com.samsung.health.exercise.end_time,com.samsung.health.exercise.datauuid
,,,,1,,,,4,0,0,,,,,,,,,680200,,,,02:08.0,1001,,,,,,,,,15:01.2,15:01.2,,1.4444444,,,,856.16,,44.37,,,,UTC+0900,1pqYBn0PvJ,,,70c57e68-30ed-413a-82f2-030c0956fb68.com.samsung.health.exercise.live_data.json,,1.2586887,com.sec.android.app.shealth,,,,13:28.0,70c57e68-30ed-413a-82f2-030c0956fb68
,,,,1,,,,4,0,0,,,,,,,,,810365,,,,32:00.0,1001,,,,,,,,,35:01.3,35:01.3,,1.4736925,,,,980.62,,68.59,,,,UTC+0900,1pqYBn0PvJ,,,75e7ab6d-14fd-470c-af2b-20a570347cb7.com.samsung.health.exercise.live_data.json,,1.2100967,com.sec.android.app.shealth,,,,45:30.0,75e7ab6d-14fd-470c-af2b-20a570347cb7
,,,,1,,,,4,0,0,,,,,,,,,651096,,,,27:17.0,1001,,,,,30001,,,,15:01.2,15:01.2,,1.4444444,,,1118,821.08997,,55.74,,,,UTC+0900,1pqYBn0PvJ,,,7426e611-8edc-406c-bfc5-e2c7a0c2613a.com.samsung.health.exercise.live_data.json,,1.261089,com.sec.android.app.shealth,,,,38:08.0,7426e611-8edc-406c-bfc5-e2c7a0c2613a
,,,,1,,,,4,0,0,,,,,,,,,829841,,,,22:05.0,1001,,,,,30001,,,,35:55.4,35:55.4,,1.5,,,1419,1088.17,,71.14,,,,UTC+0900,1pqYBn0PvJ,,,f9b07c95-5c2d-4a08-b37b-b55b188ddaf3.com.samsung.health.exercise.live_data.json,,1.3112993,com.sec.android.app.shealth,,,,35:54.0,f9b07c95-5c2d-4a08-b37b-b55b188ddaf3
,,,,1,,,,4,0,0,,,,,,,,,734862,,,,44:04.0,1001,,,,,30001,,,,59:27.3,59:27.3,,1.3611112,,,1213,848.73,,72.39,,,,UTC+0900,1pqYBn0PvJ,,,b828223c-9cb0-44f7-9d81-287b6190fa41.com.samsung.health.exercise.live_data.json,,1.1549516,com.sec.android.app.shealth,,,,56:18.0,b828223c-9cb0-44f7-9d81-287b6190fa41
,,,,1,,,,4,0,0,,,,,,,,,724232,,,,10:00.0,1001,,,,,,,,,25:36.2,25:36.2,,1.4219999,,,,915.11,,49.25,,,,UTC+0900,1pqYBn0PvJ,,,52c2272a-0156-48ae-9336-745b298d6df8.com.samsung.health.exercise.live_data.json,,1.2635592,com.sec.android.app.shealth,,,,22:04.0,52c2272a-0156-48ae-9336-745b298d6df8
,,,,1,,,,4,0,0,,,,,,,,,748172,,,,39:10.0,1001,,,,,30001,,,,55:02.1,55:02.1,,1.5833334,,,1237,942.72,,62.940002,,,,UTC+0900,1pqYBn0PvJ,,,85cfddc9-13a5-4c6f-b403-b54001f79529.com.samsung.health.exercise.live_data.json,,1.2600311,com.sec.android.app.shealth,,,,51:38.0,85cfddc9-13a5-4c6f-b403-b54001f79529
,,,,1,,,,4,0,0,,,,,,,,,680946,,,,25:44.0,1001,,,,,,,,,10:38.6,10:38.6,,1.7777778,,,,808.7,,57.69,,,,UTC+0900,1pqYBn0PvJ,,,6e056abf-255c-4e94-9896-2238f9ff3545.com.samsung.health.exercise.live_data.json,,1.1876124,com.sec.android.app.shealth,,,,37:04.0,6e056abf-255c-4e94-9896-2238f9ff3545
,,,,1,,,,4,0,0,,,,,,,,,991788,,,,35:36.0,1001,,,,,,,,,54:09.2,54:09.2,,1.5555556,,,,1142.9299,,91.020004,,,,UTC+0900,1pqYBn0PvJ,,,2b0ae1b3-685e-4127-95dc-39e0f5577621.com.samsung.health.exercise.live_data.json,,1.1523933,com.sec.android.app.shealth,,,,52:07.0,2b0ae1b3-685e-4127-95dc-39e0f5577621
,,,,1,,,,4,0,0,,,,,,,,,731929,,,,27:01.0,1001,,,,,,,,,15:00.5,15:00.5,,1.7777778,,,,943.55,,67.2,,,,UTC+0900,1pqYBn0PvJ,,,6a09f527-ac6b-4961-b75c-ce36b6fa1c8a.com.samsung.health.exercise.live_data.json,,1.2891277,com.sec.android.app.shealth,,,,39:12.0,6a09f527-ac6b-4961-b75c-ce36b6fa1c8a
