com.samsung.shealth.food_frequent,6195017,1
eveningsnack_count,update_time,create_time,morningsnack_count,dinner_count,breakfast_count,deviceuuid,pkg_name,afternoonsnack_count,datauuid,food_info_id,lunch_count
0.63,2021-10-08 01:57:18.133,2021-10-08 01:57:18.133,0.63,0.63,0.63,6GQM7Ab3PF,com.sec.android.app.shealth,0.63,eceb5605-a841-4d60-aefe-0fa357fe15a3,de6c0f26-d5f9-4c82-a297-83dd740c5643,0.63,
0.0,2021-10-08 01:58:04.043,2021-10-08 01:58:04.043,0.0,1.0,0.0,6GQM7Ab3PF,com.sec.android.app.shealth,0.0,4487f579-a1ca-436e-8207-d0c9c5abd278,d4a2276c-dc04-4ff2-b47a-5a63eecce383,0.0,
1.0,2021-10-08 01:58:04.043,2021-10-08 01:58:04.043,0.0,0.0,0.0,6GQM7Ab3PF,com.sec.android.app.shealth,0.0,20814101-7a73-4fcf-b5b3-937d89d05eb4,0838a7b4-f2f3-439c-9322-34c6d58666b8,0.0,
0.95,2021-10-01 01:43:37.677,2021-10-01 01:43:37.677,0.95,0.95,0.95,6fPiwL19M5,com.sec.android.app.shealth,0.95,44ed4e99-f8de-415f-b0ea-3a2949d9fe33,fc7b877e-bbe9-47e2-b31e-5baa2b757bd3,0.95,
0.71,2021-10-01 01:43:37.688,2021-10-01 01:43:37.688,0.71,0.71,0.71,6fPiwL19M5,com.sec.android.app.shealth,0.71,9222fb87-f6b6-4a80-9133-011753fa40f0,cbe0d6e7-399f-48b2-b0d4-56f3510e19f5,0.71,
0.71,2021-10-01 07:30:04.070,2021-10-01 07:30:04.070,0.71,0.71,0.71,O8xSl/tW6F,com.sec.android.app.shealth,0.71,DCE8A454-814D-4505-8DDC-8FB10BAD96D2,58E475C2-F2AA-484D-8F87-E9BF095FE55F,0.71,
0.99,2021-10-01 01:43:37.676,2021-10-01 01:43:37.676,0.99,0.99,0.99,6fPiwL19M5,com.sec.android.app.shealth,0.99,e42e313a-ff2b-4c63-9eec-0e158acca00b,9a7e6c18-3e6f-403a-8fe6-03cc0d30c585,0.99,
0.79,2019-12-26 23:15:18.643,2019-12-26 23:15:18.643,0.79,0.79,0.79,1pqYBn0PvJ,com.sec.android.app.shealth,0.79,77a5f05e-b85f-4f9d-be2a-84f0a3bd76fa,1324ba69-ee2a-4b51-88bb-6c116b80fc30,0.79,
0.83,2019-12-26 23:15:18.643,2019-12-26 23:15:18.643,0.83,0.83,0.83,1pqYBn0PvJ,com.sec.android.app.shealth,0.83,b8df024a-0b3c-4459-8567-14bd98a9a4f5,51829f12-5073-4ad1-a16a-14b0a8051a2a,0.83,
0.99,2021-10-07 05:14:22.356,2021-10-07 05:14:22.356,0.99,0.99,0.99,6GQM7Ab3PF,com.sec.android.app.shealth,0.99,87e64213-85c3-490a-a209-c44ba8376bf9,b80a7de8-b10a-45fd-958d-fef64e1731a4,0.99,
0.67,2021-10-08 01:57:18.133,2021-10-08 01:57:18.133,0.67,0.67,0.67,6GQM7Ab3PF,com.sec.android.app.shealth,0.67,8861da71-6da3-422e-a350-133ec046bfee,7c197a58-2481-4342-959e-afc323e1cab1,0.67,
0.87,2021-10-08 01:57:18.121,2021-10-08 01:57:18.121,0.87,0.87,0.87,6GQM7Ab3PF,com.sec.android.app.shealth,0.87,5e6bdff1-95c3-4a4f-b042-ee2f0c722558,e02afe4c-28eb-4401-81ca-45d98b7ad70c,0.87,
0.0,2021-10-08 01:58:04.043,2021-10-08 01:58:04.043,1.0,0.0,0.0,6GQM7Ab3PF,com.sec.android.app.shealth,0.0,06fc849c-515f-489e-afa1-7089c167dccc,26791ee7-0dd2-42ad-b984-080538ae447c,0.0,
0.63,2021-10-01 07:30:04.070,2021-10-01 07:30:04.070,0.63,0.63,0.63,O8xSl/tW6F,com.sec.android.app.shealth,0.63,D4A0E9FE-75CE-46F7-9E04-DD918AA9D25F,87091F55-D0D5-490C-A224-E06E1C05AACF,0.63,
0.67,2019-12-26 23:15:18.645,2019-12-26 23:15:18.645,0.67,0.67,0.67,1pqYBn0PvJ,com.sec.android.app.shealth,0.67,a5a66498-b664-4ac4-ae64-2c5513cafa57,1ece263f-8d2d-4e0b-9bd8-7c15a0b92d27,0.67,
0.83,2021-10-01 07:30:04.070,2021-10-01 07:30:04.070,0.83,0.83,0.83,O8xSl/tW6F,com.sec.android.app.shealth,0.83,F5819757-14FD-42FE-AFC4-2D8A9B329AF7,6696BF57-5319-4A06-84C2-38E915DCBA50,0.83,
0.83,2021-10-07 05:14:22.374,2021-10-07 05:14:22.374,0.83,0.83,0.83,6GQM7Ab3PF,com.sec.android.app.shealth,0.83,b3e5c47d-e580-402e-b4e9-d32c5141fd95,bf3b0206-2394-4789-b04e-f16d1bd2fca1,0.83,
0.63,2019-12-26 23:15:18.648,2019-12-26 23:15:18.648,0.63,0.63,0.63,1pqYBn0PvJ,com.sec.android.app.shealth,0.63,8bf2c35e-9dbf-4d93-86e8-6a00aa3f7461,0a034391-67ca-4525-9935-f80f48eca998,0.63,
0.67,2021-10-07 05:14:22.419,2021-10-07 05:14:22.419,0.67,0.67,0.67,6GQM7Ab3PF,com.sec.android.app.shealth,0.67,23782c41-42d9-4726-9214-8bc72d5d465f,39793fea-22b6-4b4c-bb68-74744b3552fd,0.67,
