com.samsung.shealth.calories_burned.details,6195017,2
active_calories_goal,version,extra_data,com.samsung.shealth.calories_burned.tef_calorie,com.samsung.shealth.calories_burned.active_time,com.samsung.shealth.calories_burned.rest_calorie,com.samsung.shealth.calories_burned.update_time,com.samsung.shealth.calories_burned.create_time,com.samsung.shealth.calories_burned.active_calorie,com.samsung.shealth.calories_burned.deviceuuid,com.samsung.shealth.calories_burned.pkg_name,com.samsung.shealth.calories_burned.datauuid,com.samsung.shealth.calories_burned.day_time
,,0e2d947e-9dda-42c0-b1ef-9ddcf4b9d857.extra_data.json,0.0,7218038,1467.111,2021-10-26 03:30:01.467,2021-10-01 01:43:40.718,455.51346,6fPiwL19M5,com.sec.android.app.shealth,0e2d947e-9dda-42c0-b1ef-9ddcf4b9d857,1633046400000,
,,abeaca33-cabd-4ded-b003-5f4c738fca13.extra_data.json,0.0,0,1268.882,2021-10-01 01:43:53.626,2021-10-01 01:43:42.622,0.0,6fPiwL19M5,com.sec.android.app.shealth,abeaca33-cabd-4ded-b003-5f4c738fca13,1630713600000,
,,f8e763a9-12fa-44c7-9ae4-867eb8b2848c.extra_data.json,0.0,2829700,1635.823,2021-10-05 07:03:12.163,2021-10-01 01:43:42.934,248.23997,6fPiwL19M5,com.sec.android.app.shealth,f8e763a9-12fa-44c7-9ae4-867eb8b2848c,1631145600000,
,,be7efecb-9ebc-4d71-beb7-835ce17f1c5c.extra_data.json,0.0,1699276,1657.9501,2021-10-05 07:03:12.204,2021-10-01 01:43:43.027,134.98001,6fPiwL19M5,com.sec.android.app.shealth,be7efecb-9ebc-4d71-beb7-835ce17f1c5c,1631232000000,
,,17f49c3c-ffdd-4007-87cf-d0232abb39bb.extra_data.json,0.0,3188800,1628.7938,2021-10-05 07:03:12.430,2021-10-01 01:43:43.435,269.60004,6fPiwL19M5,com.sec.android.app.shealth,17f49c3c-ffdd-4007-87cf-d0232abb39bb,1631750400000,
,,97c1c1a5-9a17-4149-a3ca-24194b60d96f.extra_data.json,0.0,2265469,1646.8673,2021-10-05 07:03:12.397,2021-10-01 01:43:43.352,181.52997,6fPiwL19M5,com.sec.android.app.shealth,97c1c1a5-9a17-4149-a3ca-24194b60d96f,1631664000000,
,,b31ebd46-4845-4557-b09d-f70c885ab8df.extra_data.json,0.0,1069808,1670.2715,2021-10-05 07:03:12.660,2021-10-01 01:43:43.796,80.51001,6fPiwL19M5,com.sec.android.app.shealth,b31ebd46-4845-4557-b09d-f70c885ab8df,1632182400000,
,,2aa2abd3-ec97-42ce-bccb-dccf1556518c.extra_data.json,0.0,1614803,1659.6036,2021-10-05 07:03:12.692,2021-10-01 01:43:43.847,130.75,6fPiwL19M5,com.sec.android.app.shealth,2aa2abd3-ec97-42ce-bccb-dccf1556518c,1632268800000,
,,462bb36c-06d9-438f-954b-b470d0c6a8cc.extra_data.json,0.0,4734103,1598.5458,2021-10-05 07:03:12.785,2021-10-01 01:43:44.098,383.60004,6fPiwL19M5,com.sec.android.app.shealth,462bb36c-06d9-438f-954b-b470d0c6a8cc,1632700800000,
,,b431bec7-32ec-4645-8111-33e7e9e6e607.extra_data.json,0.0,2539456,1641.5043,2021-10-05 07:03:12.806,2021-10-01 01:43:44.148,208.9,6fPiwL19M5,com.sec.android.app.shealth,b431bec7-32ec-4645-8111-33e7e9e6e607,1632787200000,
,,21498e5e-d55a-4ac9-ab03-e5017a94fb86.extra_data.json,0.0,4481451,1517.8154,2021-10-26 03:30:02.369,2021-10-04 15:00:00.892,282.02994,6fPiwL19M5,com.sec.android.app.shealth,21498e5e-d55a-4ac9-ab03-e5017a94fb86,1633392000000,
,,588a93c5-52c9-4368-934a-7776176c5697.extra_data.json,0.0,2405052,1556.2876,2021-10-26 03:30:02.244,2021-10-03 15:00:01.008,181.93997,6fPiwL19M5,com.sec.android.app.shealth,588a93c5-52c9-4368-934a-7776176c5697,1633305600000,
,,0a8fa61a-0bc0-440a-99d2-99a1aa6a0278.extra_data.json,0.0,2997689,1545.307,2021-10-26 03:30:02.924,2021-10-09 15:00:03.486,143.977,6fPiwL19M5,com.sec.android.app.shealth,0a8fa61a-0bc0-440a-99d2-99a1aa6a0278,1633824000000,
,,7479092e-f89a-49bf-8c20-70b8e5c58cf8.extra_data.json,0.0,15341,1600.565,2021-10-26 03:30:03.742,2021-10-10 15:00:01.595,0.65,6fPiwL19M5,com.sec.android.app.shealth,7479092e-f89a-49bf-8c20-70b8e5c58cf8,1633910400000,
,,005868bb-55f3-4b55-a493-4c541d96f2ee.extra_data.json,0.0,7337,1600.7134,2021-10-26 03:30:07.556,2021-10-15 18:23:12.970,0.33,6fPiwL19M5,com.sec.android.app.shealth,005868bb-55f3-4b55-a493-4c541d96f2ee,1634342400000,
,,40c2f7ad-3c5f-4864-95e1-e8bf262d7187.extra_data.json,0.0,18676,1600.5033,2021-10-26 03:30:08.326,2021-10-16 15:02:32.201,0.75997066,6fPiwL19M5,com.sec.android.app.shealth,40c2f7ad-3c5f-4864-95e1-e8bf262d7187,1634428800000,
,,2d17b1ba-b7a0-4548-b9de-bb1306342a9a.extra_data.json,0.0,12673,1600.6145,2021-10-26 03:30:11.526,2021-10-22 16:45:30.494,0.49,6fPiwL19M5,com.sec.android.app.shealth,2d17b1ba-b7a0-4548-b9de-bb1306342a9a,1634947200000,
,,d48ad355-d4b9-4285-85f1-a9e5b60415f5.extra_data.json,0.0,3868794,1529.167,2021-10-26 03:30:10.707,2021-10-21 16:51:01.427,204.45003,6fPiwL19M5,com.sec.android.app.shealth,d48ad355-d4b9-4285-85f1-a9e5b60415f5,1634860800000,
,,7816a56e-9eee-4de1-ac9e-9669e5b10e9b.extra_data.json,0.0,2908896,1579.8828,2021-10-29 00:28:09.234,2021-10-27 15:36:50.076,215.77065,6fPiwL19M5,com.sec.android.app.shealth,7816a56e-9eee-4de1-ac9e-9669e5b10e9b,1635379200000,
,,8183af58-f382-4fb5-8a85-0b0e1621c5ec.extra_data.json,0.0,4034937,1558.5751,2021-10-29 21:58:01.367,2021-10-28 19:43:35.373,318.51068,6fPiwL19M5,com.sec.android.app.shealth,8183af58-f382-4fb5-8a85-0b0e1621c5ec,1635465600000,
,,08473eb3-0ec4-4a84-861e-58118614d30f.extra_data.json,0.0,0,1268.882,2021-10-01 01:43:53.730,2021-10-01 01:43:42.702,0.0,6fPiwL19M5,com.sec.android.app.shealth,08473eb3-0ec4-4a84-861e-58118614d30f,1630800000000,
,,046f6240-4ee2-4791-b954-570cc0de4c5c.extra_data.json,0.0,0,1268.882,2021-10-01 01:43:53.913,2021-10-01 01:43:42.741,0.0,6fPiwL19M5,com.sec.android.app.shealth,046f6240-4ee2-4791-b954-570cc0de4c5c,1630886400000,
,,995d5d19-69ec-4f0f-a4dd-7413d612e34d.extra_data.json,0.0,2541577,1641.4628,2021-10-05 07:03:12.250,2021-10-01 01:43:43.080,200.51999,6fPiwL19M5,com.sec.android.app.shealth,995d5d19-69ec-4f0f-a4dd-7413d612e34d,1631318400000,
,,9a1ac59a-2551-4a41-83d9-e32d0c640bfa.extra_data.json,0.0,1859566,1654.8125,2021-10-05 07:03:12.292,2021-10-01 01:43:43.150,139.46996,6fPiwL19M5,com.sec.android.app.shealth,9a1ac59a-2551-4a41-83d9-e32d0c640bfa,1631404800000,
,,9fd09a16-3f5d-4727-9ad4-f605bb2a8b7d.extra_data.json,0.0,2170810,1648.7202,2021-10-05 07:03:12.459,2021-10-01 01:43:43.537,176.46002,6fPiwL19M5,com.sec.android.app.shealth,9fd09a16-3f5d-4727-9ad4-f605bb2a8b7d,1631836800000,
,,d34f6fee-2db2-4edb-88a3-3b5eb4d5b451.extra_data.json,0.0,2629163,1639.7484,2021-10-05 07:03:12.506,2021-10-01 01:43:43.634,209.41531,6fPiwL19M5,com.sec.android.app.shealth,d34f6fee-2db2-4edb-88a3-3b5eb4d5b451,1631923200000,
,,168b52a4-58da-4ec5-b0cf-1c9ebb95c6d3.extra_data.json,0.0,3192599,1628.7195,2021-10-05 07:03:12.728,2021-10-01 01:43:43.935,260.98996,6fPiwL19M5,com.sec.android.app.shealth,168b52a4-58da-4ec5-b0cf-1c9ebb95c6d3,1632441600000,
,,1962442b-6f07-4c50-85fd-f0350187ecd7.extra_data.json,0.0,5138822,1590.6237,2021-10-05 07:03:12.716,2021-10-01 01:43:43.896,417.39005,6fPiwL19M5,com.sec.android.app.shealth,1962442b-6f07-4c50-85fd-f0350187ecd7,1632355200000,
,,b61af5fa-0a8d-446d-a9c5-602975d4783f.extra_data.json,0.0,4755504,1512.7377,2021-10-26 03:30:01.220,2021-10-01 01:43:44.310,379.62988,6fPiwL19M5,com.sec.android.app.shealth,b61af5fa-0a8d-446d-a9c5-602975d4783f,1632960000000,
